2020-04-29T14:15:13.367, i=0
2020-04-29T14:16:10.546, i=100
2020-04-29T14:16:12.411, i=200
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@329590d3)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@365f859a)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@72e27bfe)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@448acbb)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1a45a7e9)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@50fc926e)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@31a02e04)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@704c71ff)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4781faf0)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@735a7f8c)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@43babfed)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@50eaedec)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@18f4cb7b)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@387271f6)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2e21e4c2)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@29a3e967)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@17b2503b)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3ce47efa)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1dc28a50)
2020-04-29T14:16:13.604, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2b1cb05e)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2e2a0e8e)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3126b61f)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@38bf2a61)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@76eff368)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@8cfcd45)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@c5d040d)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4d70dbc5)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@448d15b0)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@32de4d81)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@56c75abb)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1da20d55)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@312eabc4)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@715c5a25)
2020-04-29T14:16:13.605, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1d22d437)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1067aa63)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@54535320)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@47cda6fd)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4cc5415f)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@61dcde16)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2fd85b5e)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@508ea16)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@63219c51)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@640ac24d)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@9e57739)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4bff7449)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@24d3aa73)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@16790c0e)
2020-04-29T14:16:13.606, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3407ed47)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4ea8ab2)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3d53286e)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@63945ab6)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@68f2ee56)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@389d46e0)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1ca919c5)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5d29a10c)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@225674a1)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@70ae8c4d)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@241dc4ac)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@342c20e2)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@25cea9ba)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@218685aa)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6b740d92)
2020-04-29T14:16:13.607, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3e0a1b2e)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6ed9e62c)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7be79588)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@30340ffb)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5e89b1b8)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7fc0d4c3)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@384c5566)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2897ce43)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3b80ae98)
2020-04-29T14:16:13.608, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@421f13e7)
